,Forecast
2020-05-03,23.730011321505003
2020-05-04,23.75863172039749
2020-05-05,23.696728603149722
2020-05-06,23.600112858662442
2020-05-07,23.482213331267303
2020-05-08,23.378618577209522
2020-05-09,23.28559284971493
2020-05-10,23.20115846128806
2020-05-11,23.12582236553044
2020-05-12,23.057325750829136
2020-05-13,23.009625086008327
2020-05-14,22.981613444855498
2020-05-15,22.97454555045374
2020-05-16,22.98210231142741
2020-05-17,22.994938934732204
2020-05-18,23.01080125970566
2020-05-19,23.02789712009894
2020-05-20,23.045667368310774
2020-05-21,23.069964967124974
